country,total patent applications,total trademark applications,high-technology exports,high-technology exports (USD),research and development expenditure,payment for intellectual property,
Bolivia,NULL,NULL,5.052,19560045,NULL,76817706.708,
Brazil,7458,230496,13.276,9427923439,1.263,5246219107.55,
Barbados,755,1872,13.692,29762994,NULL,13120862.415,
Brunei,NULL,NULL,NULL,NULL,NULL,NULL,
Bhutan,3,73,NULL,NULL,NULL,221116.831,
Botswana,3,692,0.385,19399628,NULL,105704973.036,
Central African Republic,17,71,29.019,8173212,NULL,NULL,
Canada,25174,96529,16.513,32423076385,1.566,12399643967.51,
Switzerland,46147,184402,12.914,29879336966,3.373,17188972873.503,
Chile,968,32500,7.527,676197773,0.355,1756957963.712,
China,1328067,642418,30.785,715843469845,2.186,34370466477.86,
Ivory Coast,NULL,NULL,NULL,NULL,NULL,NULL,
Clipperton Island,NULL,NULL,NULL,NULL,NULL,NULL,
Cameroon,528,5615,6.017,30197985,NULL,1947036.745,
Cyprus No Mans Area,NULL,NULL,NULL,NULL,NULL,NULL,
Democratic Republic of the Congo,NULL,226,NULL,NULL,NULL,NULL,
Republic of Congo,NULL,NULL,NULL,NULL,NULL,NULL,
Cook Islands,NULL,45,NULL,NULL,NULL,NULL,
Colombia,638,26909,9.124,759451766,0.237,723175264.057,
Comoros,NULL,40,3.032,834198,NULL,458812.53,
Cape Verde,NULL,NULL,NULL,NULL,NULL,NULL,
Costa Rica,114,8525,17.565,1154572220,0.423,593409600,
Coral Sea Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Cuba,115,1658,NULL,NULL,0.431,NULL,
Curacao,NULL,NULL,NULL,NULL,NULL,25515452.251,
Cayman Islands,NULL,NULL,NULL,NULL,NULL,74938827.492,
Northern Cyprus,NULL,NULL,NULL,NULL,NULL,NULL,
Cyprus,354,27276,19.874,92911881,0.559,232194731.551,
Czech Republic,2269,48418,20.805,37834284166,1.928,1505724299.638,
Germany,178359,765526,16.426,208677809287,3.094,16148860308.739,
Djibouti,NULL,3,NULL,NULL,NULL,NULL,
Dominica,NULL,46,NULL,NULL,NULL,661571.4,
Denmark,13187,68792,12.044,9581327558,3.064,1557371218.627,
Dominican Republic,45,7947,6.997,383916253,NULL,248900000,
Algeria,119,5265,0.96,9027398,0.542,143098650.409,
Ecuador,46,13558,5.528,68045527,NULL,138706508,
Egypt,1183,19645,NULL,NULL,NULL,NULL,
Eritrea,1,1,NULL,NULL,NULL,NULL,
Dhekelia Sovereign Base Area,NULL,NULL,NULL,NULL,NULL,NULL,
Spain,9926,367353,6.861,15069892196,1.237,6838705334.551,
Estonia,278,21247,5.773,1345110,1.425,63213681.883,
Ethiopia,1,67,13.645,9903646,0.274,26729370.567,
Finland,11486,52916,9.215,4563213733,2.774,1003721209.794,
Fiji,NULL,84,22.001,61615525,NULL,6344078.05,
Falkland Islands,NULL,NULL,NULL,NULL,NULL,NULL,
France,67390,395286,26.992,120896951796,2.2,12982142454.121,
Faroe Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Federated States of Micronesia,NULL,NULL,NULL,NULL,NULL,NULL,
Gabon,139,973,NULL,NULL,NULL,NULL,
United Kingdom,54794,440014,23.468,78176113114,1.724,17562348534.999,
Georgia,89,2034,2.568,19353258,0.305,40652755.9,
Guernsey,NULL,NULL,NULL,NULL,NULL,NULL,
Ghana,6,259,1.138,9928827,NULL,189994769.056,
Gibraltar,NULL,NULL,NULL,NULL,NULL,NULL,
Guinea,5,2766,0.9,799558,NULL,NULL,
Gambia,NULL,105,NULL,NULL,NULL,NULL,
Guinea Bissau,NULL,NULL,NULL,NULL,NULL,NULL,
Equatorial Guinea,NULL,209,NULL,NULL,NULL,NULL,
Greece,1164,33362,12.515,1778210448,1.177,321456877.082,
Grenada,NULL,NULL,NULL,NULL,NULL,9320557.207,
Greenland,NULL,NULL,1.709,487975,NULL,NULL,
Guatemala,13,8871,4.92,241853800,0.028,241857650,
Guam,NULL,NULL,NULL,NULL,NULL,NULL,
Guyana,NULL,11,1.566,38848143,NULL,3677280,
Hong Kong S.A.R.,NULL,NULL,NULL,NULL,NULL,NULL,
Heard Island and McDonald Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Honduras,1,3236,1.967,12634974,0.04,84546357.753,
Croatia,327,9107,8.304,954203937,0.975,335601956.546,
Haiti,NULL,11,NULL,NULL,NULL,0,
Hungary,1449,27453,17.458,18527224783,1.555,1531849513.421,
Indonesia,3141,42896,8.098,6285817887,0.226,1804783826.494,
Isle of Man,NULL,NULL,NULL,NULL,NULL,NULL,
India,34052,348588,10.299,23643556632,0.65,7889685402.173,
Indian Ocean Territories,NULL,NULL,NULL,NULL,NULL,NULL,
British Indian Ocean Territory,NULL,NULL,NULL,NULL,NULL,NULL,
Ireland,6492,39209,25.973,39356223019,1.146,94262327694.67,
Iran,NULL,NULL,NULL,NULL,NULL,NULL,
Iraq,9,429,NULL,NULL,0.043,10200000,
Iceland,252,1993,38.079,305002021,2.03,101900897.833,
Israel,16095,23435,23.092,12564551000,4.953,1520200000,
Italy,32028,422376,7.833,32869409059,1.399,5017472904.383,
Jamaica,26,1355,3.065,1518794,NULL,50756619.68,
Jersey,NULL,NULL,NULL,NULL,NULL,NULL,
Jordan,49,4267,1.369,71400169,0.708,27183098.592,
Japan,453816,278851,17.023,104042048408,3.265,26267012760.259,
Baykonur Cosmodrome,NULL,NULL,NULL,NULL,NULL,NULL,
Siachen Glacier,NULL,NULL,NULL,NULL,NULL,NULL,
Kazakhstan,902,6015,29.775,2251491437,0.123,141320590,
Kenya,372,4570,4.593,82475871,NULL,121644123.28,
Kyrgyzstan,161,591,NULL,NULL,NULL,NULL,
Cambodia,2,2925,1.194,160372353,NULL,26268005.561,
Kiribati,NULL,NULL,2.759,42923,NULL,NULL,
Saint Kitts and Nevis,28,378,NULL,NULL,NULL,NULL,
South Korea,NULL,NULL,NULL,NULL,NULL,NULL,
Kosovo,NULL,NULL,NULL,NULL,NULL,10273003.857,
Kuwait,129,1721,0.903,26496303,0.062,NULL,
Laos,NULL,NULL,NULL,NULL,NULL,NULL,
Lebanon,79,2267,2.355,39529301,NULL,22231493.703,
Liberia,NULL,25,NULL,NULL,NULL,NULL,
Libya,7,135,NULL,NULL,NULL,NULL,
Saint Lucia,2,328,NULL,NULL,NULL,NULL,
Liechtenstein,1449,5521,NULL,NULL,NULL,NULL,
Sri Lanka,412,7634,1.02,79026656,NULL,NULL,
Lesotho,NULL,28,0.209,1254081,NULL,2971708.74,
Lithuania,247,18774,12.03,2527024759,0.945,72829784.618,
Luxembourg,2727,40551,6.561,789478516,1.236,6122938132.66,
Latvia,177,10042,17.242,1471919256,0.631,50330404.627,
Macao S.A.R,NULL,NULL,NULL,NULL,NULL,NULL,
Saint Martin,NULL,NULL,NULL,NULL,NULL,NULL,
Morocco,292,12920,4.9,1018014031,NULL,147656201.839,
Monaco,159,6575,NULL,NULL,NULL,NULL,
Moldova,NULL,NULL,2.964,24973388,0.255,30890000,
Madagascar,NULL,864,0.366,2679401,0.015,13406102.969,
Maldives,NULL,40,0.144,708,NULL,NULL,
Mexico,2535,130337,20.423,75234337293,0.312,313458693,
Marshall Islands,2,658,NULL,NULL,NULL,NULL,
Macedonia,NULL,NULL,NULL,NULL,NULL,NULL,
Mali,59,2432,1.244,3021238,0.292,0,
Malta,378,21123,29.782,758632076,0.575,1128283310.524,
Myanmar,3,9,2.751,219420963,0.032,32501768.975,
Montenegro,18,448,3.154,4246458,0.368,5874126.789,
Mongolia,90,1655,18.944,39589730,0.103,26323961.653,
Northern Mariana Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Mozambique,23,1678,5.648,27220071,NULL,2862442.76,
Mauritania,NULL,1488,0.013,3399,0.014,2131534.654,
Montserrat,NULL,NULL,NULL,NULL,NULL,NULL,
Mauritius,70,4344,2.144,24298902,0.346,13404797.509,
Malawi,2,29,7.256,4437252,NULL,3622394.189,
Malaysia,2141,27790,51.849,86554988404,1.437,2217569238.904,
Namibia,20,369,0.237,2508912,NULL,2540932.617,
New Caledonia,NULL,NULL,NULL,NULL,NULL,1826701.753,
Niger,53,748,2.968,4597297,NULL,19803.889,
Norfolk Island,NULL,NULL,NULL,NULL,NULL,NULL,
Nigeria,13,13414,1.482,85424676,NULL,252840000,
Nicaragua,NULL,240,1.063,24126468,NULL,1100000,
Niue,NULL,NULL,NULL,NULL,NULL,NULL,
Netherlands,35468,206049,23.065,87120587840,2.164,43203012416.18,
Norway,6238,24304,22.618,4636646551,2.07,603382414.07,
Nepal,29,145,1.184,5993527,NULL,NULL,
Nauru,NULL,NULL,NULL,NULL,NULL,0,
New Zealand,2177,23811,9.866,572752440,1.366,936693984.982,
Oman,54,11429,1.258,73302558,0.22,NULL,
Pakistan,411,33531,2.303,396193878,0.236,192000000,
Panama,64,7237,13.708,1361750579,0.147,71200000,
Pitcairn Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Peru,182,29278,4.078,179330470,0.127,416210951.773,
Spratly Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Philippines,674,25040,62.247,35825933401,NULL,832721346.32,
Palau,1,9,51.684,401591,NULL,NULL,
Papua New Guinea,NULL,4,NULL,NULL,0.032,NULL,
Poland,6175,138419,10.113,20354175965,1.212,3734000000,
Puerto Rico,NULL,NULL,NULL,NULL,NULL,NULL,
North Korea,NULL,NULL,NULL,NULL,NULL,NULL,
Portugal,2150,75437,6.942,3595047498,1.366,848566592.965,
Paraguay,4,709,7.183,76176090,0.149,18500000,
Palestine,NULL,NULL,NULL,NULL,NULL,NULL,
French Polynesia,NULL,NULL,NULL,NULL,NULL,3333941.191,
Qatar,130,2821,0.003,122141,0.507,NULL,
Romania,1181,39660,11.073,6994469377,0.505,936735170.388,
Russia,29712,89944,13.003,10864829654,0.99,6866160000,
Rwanda,1,503,10.552,6816497,0.666,209651.151,
Western Sahara,NULL,NULL,NULL,NULL,NULL,NULL,
Saudi Arabia,7401,27379,0.648,270579693,NULL,NULL,
Scarborough Reef,NULL,NULL,NULL,NULL,NULL,NULL,
Sudan,252,1703,NULL,869554,NULL,0,
South Sudan,NULL,NULL,NULL,NULL,NULL,1440000,
Senegal,221,4795,0.935,9412110,NULL,8752958.861,
Serranilla Bank,NULL,NULL,NULL,NULL,NULL,NULL,
Singapore,7377,35719,52.128,150958791008,1.944,16150764512.917,
South Georgia and South Sandwich Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Saint Helena,NULL,NULL,NULL,NULL,NULL,NULL,
Solomon Islands,NULL,6,1.359,171263,NULL,4073440.797,
Sierra Leone,2,205,0.736,378767,NULL,798108.965,
El Salvador,3,5835,5.126,230626406,0.181,97691759.79,
San Marino,66,828,NULL,NULL,NULL,NULL,
Somaliland,NULL,NULL,NULL,NULL,NULL,NULL,
Somalia,NULL,NULL,NULL,NULL,NULL,NULL,
Saint Pierre and Miquelon,NULL,NULL,NULL,NULL,NULL,NULL,
Republic of Serbia,NULL,NULL,NULL,NULL,NULL,NULL,
Sao Tome and Principe,NULL,7,17.03,191951,NULL,61319.86,
Suriname,NULL,89,12.522,2914164,NULL,5321674.39,
Slovakia,569,16246,NULL,NULL,NULL,NULL,
Slovenia,516,15129,7.354,2333334083,1.942,256638367.526,
Sweden,27773,115380,14.613,17554679389,3.339,6845277592.727,
Swaziland,NULL,NULL,NULL,NULL,NULL,NULL,
Sint Maarten,NULL,NULL,NULL,NULL,NULL,NULL,
Seychelles,36,3837,2.198,1946595,0.222,3332145.021,
Syria,NULL,NULL,NULL,NULL,NULL,NULL,
Turks and Caicos Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Chad,NULL,544,NULL,NULL,0.3,NULL,
Togo,34,1600,0.148,710008,NULL,0,
Thailand,1810,34495,23.611,40263648711,1.004,5311900977.694,
Tajikistan,105,648,NULL,NULL,0.097,36010,
Turkmenistan,1,9,NULL,NULL,NULL,NULL,
East Timor,NULL,NULL,NULL,NULL,NULL,NULL,
Tonga,NULL,4,NULL,NULL,NULL,0,
Trinidad and Tobago,9,541,NULL,NULL,0.092,43704058.125,
Tunisia,14,1247,6.886,840507140,0.6,20515034.135,
Turkey,10047,162236,3.044,4302100256,0.961,2098000000,
Tuvalu,NULL,NULL,NULL,NULL,NULL,NULL,
Taiwan,NULL,NULL,NULL,NULL,NULL,NULL,
United Republic of Tanzania,8,49,NULL,NULL,NULL,NULL,
Uganda,2,23,3.53,19912643,NULL,32877838.89,
Ukraine,2467,39081,5.579,1247555874,0.471,606000000,
United States Minor Outlying Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Uruguay,61,4886,8.271,116890950,0.484,119784261.254,
United States of America,521735,1070235,18.934,156074126641,2.838,42732000000,
US Naval Base Guantanamo Bay,NULL,NULL,NULL,NULL,NULL,NULL,
Uzbekistan,456,3875,0.725,20483658,0.13,87142840.131,
Vatican,NULL,NULL,NULL,NULL,NULL,NULL,
Saint Vincent and the Grenadines,NULL,28,NULL,NULL,NULL,NULL,
Venezuela,NULL,NULL,NULL,NULL,NULL,NULL,
British Virgin Islands,NULL,NULL,NULL,NULL,NULL,NULL,
United States Virgin Islands,NULL,NULL,NULL,NULL,NULL,NULL,
Vietnam,NULL,NULL,40.436,90436077041,0.527,NULL,
Vanuatu,NULL,86,NULL,NULL,NULL,542811.851,
Wallis and Futuna,NULL,NULL,NULL,NULL,NULL,NULL,
Akrotiri Sovereign Base Area,NULL,NULL,NULL,NULL,NULL,NULL,
Samoa,70,394,2.279,105679,NULL,586469.873,
Yemen,63,4429,NULL,NULL,NULL,NULL,
South Africa,1517,28822,4.895,1832937779,0.832,1649467139.617,
Zambia,3,1109,2.314,22478701,NULL,16903078.701,
Zimbabwe,10,236,4.955,27810712,NULL,4322232.37,
